Date,Call_Max_Daily,Put_Max_Daily,equity_open,high_equity,low_equity,close_equity,Max,weekday,spy_direction_lag1,intraday_range_lag1,spy_direction_lag2,day_classification,d1,d2,d3,d4,d5,weekday_encoded
2023-06-27,8.047619047619047,1.268456375838926,432.94,436.81,431.88,436.14,8.047619047619047,Tuesday,-2.659999999999968,3.420000000000016,-0.040000000000020464,very_high,high,average,high,low,very_high,3
2023-06-28,3.2093023255813953,1.0646551724137934,434.9,437.44,434.41,436.38,3.2093023255813953,Wednesday,3.1999999999999886,4.930000000000007,-2.659999999999968,high,very_high,high,average,high,low,4
2023-06-29,1.8450704225352115,1.1029411764705883,436.41,438.28,435.91,438.14,1.8450704225352115,Thursday,1.4800000000000182,3.0299999999999727,3.1999999999999886,average,high,very_high,high,average,high,2
2023-06-30,1.775,1.0876232201533405,442.28,444.3,441.86,443.25,1.775,Friday,1.7299999999999613,2.3699999999999477,1.4800000000000182,average,average,high,very_high,high,average,0
2023-07-03,1.1728395061728394,1.1015625,443.41,444.08,443.02,443.9,1.1728395061728394,Monday,0.9700000000000273,2.4399999999999977,1.7299999999999613,low,average,average,high,very_high,high,1
2023-07-05,1.2781456953642383,1.0777027027027026,443.13,443.889,442.31,443.14,1.2781456953642383,Wednesday,0.48999999999995225,1.0600000000000023,0.9700000000000273,low,low,average,average,high,very_high,4
2023-07-06,1.4375,1.6049382716049383,438.62,440.1,437.06,439.67,1.6049382716049383,Thursday,0.009999999999990905,1.5790000000000077,0.48999999999995225,average,low,low,average,average,high,2
2023-07-07,5.21875,1.1793103448275861,439.16,442.64,438.3,438.521,5.21875,Friday,1.0500000000000114,3.0400000000000205,0.009999999999990905,very_high,average,low,low,average,average,0
2023-07-10,1.3636363636363635,1.8837209302325584,439.01,439.84,437.585,439.66,1.8837209302325584,Monday,-0.63900000000001,4.339999999999975,1.0500000000000114,average,very_high,average,low,low,average,1
2023-07-11,2.2111111111111112,1.1941923774954628,439.99,442.97,439.44,442.48,2.2111111111111112,Tuesday,0.6500000000000341,2.2549999999999955,-0.63900000000001,high,average,very_high,average,low,low,3
2023-07-12,1.3389830508474578,1.5061728395061726,446.33,447.4799,444.91,446.01,1.5061728395061726,Wednesday,2.490000000000009,3.5300000000000296,0.6500000000000341,average,high,average,very_high,average,low,4
2023-07-13,2.8333333333333335,1.1818181818181819,448.27,450.38,447.815,449.53,2.8333333333333335,Thursday,-0.3199999999999932,2.5698999999999614,2.490000000000009,high,average,high,average,very_high,average,2
2023-07-14,1.25,1.9082568807339448,450.55,451.36,448.49,449.28,1.9082568807339448,Friday,1.259999999999991,2.5649999999999977,-0.3199999999999932,average,high,average,high,average,very_high,0
2023-07-17,3.2708333333333335,1.0,449.33,451.93,449.13,450.855,3.2708333333333335,Monday,-1.2700000000000387,2.8700000000000045,1.259999999999991,high,average,high,average,high,average,1
2023-07-18,7.194444444444445,1.0246252676659529,451.055,454.86,450.73,454.19,7.194444444444445,Tuesday,1.525000000000034,2.8000000000000114,-1.2700000000000387,very_high,high,average,high,average,high,3
2023-07-19,1.075,1.6526315789473687,455.85,456.43,454.1119,455.13,1.6526315789473687,Wednesday,3.134999999999991,4.1299999999999955,1.525000000000034,average,very_high,high,average,high,average,4
2023-07-20,1.0170068027210886,5.37037037037037,454.87,455.1,451.44,452.18,5.37037037037037,Thursday,-0.7200000000000273,2.3181000000000154,3.134999999999991,very_high,average,very_high,high,average,high,2
2023-07-21,1.1807692307692306,1.837837837837838,453.445,454.165,452.17,452.19,1.837837837837838,Friday,-2.6899999999999977,3.660000000000025,-0.7200000000000273,average,very_high,average,very_high,high,average,0
2023-07-24,1.1973684210526316,2.1515151515151514,454.24,455.04,452.298,454.2,2.1515151515151514,Monday,-1.2549999999999955,1.9950000000000045,-2.6899999999999977,high,average,very_high,average,very_high,high,1
2023-07-25,2.4545454545454546,1.049135577797998,454.55,456.735,454.41,455.41,2.4545454545454546,Tuesday,-0.040000000000020464,2.7420000000000186,-1.2549999999999955,high,high,average,very_high,average,very_high,3
2023-07-26,1.443298969072165,1.3538461538461537,454.925,456.99,453.38,455.51,1.443298969072165,Wednesday,0.8600000000000136,2.3249999999999886,-0.040000000000020464,low,high,high,average,very_high,average,4
2023-07-27,1.0,18.18181818181818,459.28,459.35,451.55,452.48,18.18181818181818,Thursday,0.5849999999999795,3.6100000000000136,0.8600000000000136,very_high,low,high,high,average,very_high,2
2023-07-28,2.871794871794872,1.1341463414634148,455.775,457.78,452.4918,456.91,2.871794871794872,Friday,-6.7999999999999545,7.800000000000011,0.5849999999999795,high,very_high,low,high,high,average,0
2023-07-31,1.0690943043884218,2.1904761904761907,457.91,458.16,456.045,457.79,2.1904761904761907,Monday,1.1350000000000477,5.288199999999961,-6.7999999999999545,high,high,very_high,low,high,high,1
